Table 1
Month_Name,Clay ,Jim,Ryan,Kelly,Louis,Pranav,Charles,Dwight,Stanley,Zayn,Carlos,Daniel,Total 
Jan,36,45,56,50,57,45,66,56,33,55,65,76,684
Feb,40,47,58,52,60,48,68,58,35,57,67,78,774
Mar,41,46,59,53,61,49,70,59,34,58,66,79,776
Apr,38,44,55,51,59,47,69,57,32,54,64,77,725
May,39,45,57,52,60,48,67,58,36,56,66,80,758
June,42,48,60,54,62,50,71,60,37,59,68,81,762
Jul,40,46,58,53,61,49,68,59,34,55,64,79,754
Aug,41,47,59,54,62,50,69,61,35,57,65,80,785
Sep,43,49,61,55,63,51,72,62,38,58,66,82,792
Oct,44,48,60,56,64,52,70,63,39,59,67,83,795
Nov,45,50,62,57,65,53,73,64,40,60,68,84,805
Dec,46,51,63,58,66,54,74,65,41,61,69,85,810
